,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,drafted or no,drafted_top10,Height (No Shoes)_zscore,Height (With Shoes)_zscore,Wingspan_zscore,Standing reach_zscore,Vertical (Max)_zscore,Vertical (Max Reach)_zscore,Vertical (No Step)_zscore,Vertical (No Step Reach)_zscore,Weight_zscore,Body Fat_zscore,Bench_zscore,Agility_zscore,Sprint_zscore
10,Hasheem Thabeet,2009,2.0,216.535,219.71,229.235,287.02,88.9,351.79,74.93,337.82,121.109064,6.7,10.0,11.254999999999999,3.28,1,1,2.3263292639606026,2.325269790104195,1.9680657505182528,1.9874955576311661,-0.03583515119533677,0.0728366969170871,-0.025837928738967956,0.07616543553410786,2.1176178351468775,-0.20558128749012014,-0.03597943025220917,-0.12381168699150906,-0.14214605678035735
11,Eric Maynor,2009,20.0,188.595,191.135,189.23,246.38,80.01,326.39,72.39,318.77,74.389088,5.4,8.0,10.78,3.19,1,0,-1.0227839628336208,-1.1145090403640672,-2.0301547227755443,-1.2826313946761463,-1.0902043558774157,-2.4376014568246087,-0.3773697486873722,-1.6559839854856104,-2.063286724829635,-0.7315469643919481,-0.5830784137931515,-1.0338702033916978,-0.8963143603139815
12,Darren Collison,2009,21.0,183.51500000000001,186.69,190.5,245.11,85.09,330.2,77.47,322.58,75.296272,5.7,9.0,10.45,3.1,1,0,-1.6317136404325687,-1.6495857473257955,-1.9032270887027245,-1.3848228619357483,-0.4877076674876566,-2.061035733763355,0.3256938912094343,-1.309554101281667,-1.982104112014557,-0.6101702697222956,-0.30952892202268034,-1.6661213832065662,-1.6504826638476056
13,Omri Casspi,2009,23.0,202.565,206.375,206.375,270.51,82.55,353.06,64.77,335.28000000000003,95.707912,8.6,2.0,11.15,3.28,1,0,0.6517726505634909,0.720039669219006,-0.31663166279248844,0.6590064832563207,-0.788956011682537,0.19835860460416993,-1.431965208532583,-0.15478782060185114,-0.15549532367530491,0.563137778751013,-2.2243753644159785,-0.32498251693260094,-0.14214605678035735
14,Byron Mullens,2009,24.0,212.725,216.535,217.17000000000002,281.94,82.55,364.49,72.39,354.33,117.026736,8.5,10.0,11.1,3.45,1,0,1.8696320057613902,1.9430721422743868,0.7622532268264736,1.578729688592753,-0.788956011682537,1.3280557737879322,-0.3773697486873722,1.577361600417862,1.7522960774790266,0.5226788805277955,-0.03597943025220917,-0.4207781502378854,1.2823940721164937
15,Damion James,2009,24.0,198.755,201.93,215.26500000000001,269.24,93.98,363.22,76.2,345.44,101.604608,8.2,14.0,11.23,3.09,1,0,0.19507539236427832,0.18496296225727743,0.5718617757172452,0.5568150159967187,0.5666615371944225,1.2025338661008493,0.14992798123523318,0.7690252039419953,0.372191659622702,0.40130218585814265,1.0582185368296755,-0.1717095036441479,-1.7342791420180104
16,Rodrigue Beaubois,2009,25.0,186.055,188.595,207.645,254.0,99.06,353.06,74.93,328.93,82.553744,7.9,3.0,10.49,3.15,1,0,-1.3272488016330948,-1.4202671586279114,-0.18970402871966857,-0.6694825911185246,1.1691582255841817,0.19835860460416993,-0.025837928738967956,-0.732170960941759,-1.3326432094939344,0.27992549118849047,-1.9508258726455074,-1.589484876562338,-1.231500272995593
17,Taj Gibson,2009,26.0,204.47,207.645,223.52,276.86,76.2,353.06,64.77,341.63,97.068688,6.6,12.0,11.56,3.41,1,0,0.8801212796630973,0.8729187283509299,1.3968913971905674,1.1699638195543403,-1.5420768721697355,0.19835860460416993,-1.431965208532583,0.42259531973805153,-0.03372140445268794,-0.2460401857133379,0.5111195532887332,0.4605416761707206,0.9472081594348821
18,DeMarre Carroll,2009,27.0,198.755,202.565,208.28,266.7,88.9,351.79,74.93,337.82,93.893544,6.3,10.0,11.254999999999999,3.28,1,0,0.19507539236427832,0.26140249182323766,-0.12624021168326002,0.35243208147750993,-0.03583515119533677,0.0728366969170871,-0.025837928738967956,0.07616543553410786,-0.31786054930545965,-0.3674168803829905,-0.03597943025220917,-0.12381168699150906,-0.14214605678035735
19,Greivis Vasquez,2009,28.0,194.945,198.12,201.29500000000002,256.54,71.12,327.66,62.230000000000004,318.77,89.357624,6.9,1.0,11.13,3.48,1,0,-0.2616218658349343,-0.27367421513849083,-0.8243421990837624,-0.46509965659931585,-2.1445735605594947,-2.3120795491375206,-1.7834970284809852,-1.6559839854856104,-0.7237736133808496,-0.12466349104368499,-2.49792485618645,-0.36330077025471336,1.5337835066277004
20,Wayne Ellington,2009,28.0,193.675,196.215,199.39000000000001,254.0,96.52,350.52,80.01,334.01,91.625584,5.5,13.0,11.14,3.2,1,0,-0.4138542852346696,-0.502992803836375,-1.0147336501929909,-0.6694825911185246,0.8679098813893011,-0.05268521077000135,0.6772257111578386,-0.2702644486698358,-0.5208170813431546,-0.6910880661687308,0.7846690450592044,-0.3441416435936572,-0.8125178821435768
21,Toney Douglas,2009,29.0,185.42000000000002,187.96,198.12,247.65,82.55,330.2,71.12,318.77,83.007336,5.2,15.0,10.63,3.03,1,0,-1.4033650113329625,-1.4967066881938718,-1.1416612842658107,-1.1804399274165418,-0.788956011682537,-2.061035733763355,-0.5531356586615733,-1.6559839854856104,-1.2920519030863955,-0.8124647608383833,1.3317680286001468,-1.3212571033075442,-2.237058011040428
22,James Harden,2009,3.0,193.04,196.215,210.185,262.89,93.98,356.87,80.01,342.9,100.697424,10.1,17.0,11.1,3.13,1,1,-0.48997049493454065,-0.502992803836375,0.0641512394259684,0.04585767969869911,0.5666615371944225,0.574924327665424,0.6772257111578386,0.5380719478060311,0.291009046807624,1.170021252099276,1.878867012141089,-0.4207781502378854,-1.399093229336399
23,Jeff Pendergraph,2009,31.0,205.105,208.28,215.9,271.78000000000003,88.9,360.68,78.74,350.52,108.86207999999999,5.5,15.0,11.98,3.14,1,0,0.9562374893629648,0.9493582579168901,0.6353255927536537,0.7611979505159274,-0.03583515119533677,0.9514900507266781,0.5014598011836354,1.2309317162139184,1.0216525621433246,-0.6910880661687308,1.3317680286001468,1.2652249959350985,-1.315296751165994
24,Jermaine Taylor,2009,32.0,191.77,194.945,205.105,256.54,95.25,351.79,86.36,342.9,93.893544,5.8,16.0,11.54,3.32,1,0,-0.6422029143342759,-0.6558718629682988,-0.4435592968653084,-0.46509965659931585,0.7172857092918619,0.0728366969170871,1.5560552610288463,0.5380719478060311,-0.31786054930545965,-0.5697113714990781,1.605317520370618,0.4222234228486048,0.19303985590125422
