Height (No Shoes)_zscore,Height (With Shoes)_zscore,Wingspan_zscore,Standing reach_zscore,Vertical (Max)_zscore,Vertical (Max Reach)_zscore,Vertical (No Step)_zscore,Vertical (No Step Reach)_zscore,Weight_zscore,Body Fat_zscore,Bench_zscore,Agility_zscore,Sprint_zscore
-0.261621866,-0.273674215,-0.824342199,-0.465099657,-2.144573561,-2.312079549,-1.783497028,-1.655983985,-0.723773613,-0.124663491,-2.497924856,-0.36330077,1.533783507
-0.413854285,-0.502992804,-1.01473365,-0.669482591,0.867909881,-0.052685211,0.677225711,-0.270264449,-0.520817081,-0.691088066,0.784669045,-0.344141644,-0.812517882
-1.403365011,-1.496706688,-1.141661284,-1.180439927,-0.788956012,-2.061035734,-0.553135659,-1.655983985,-1.292051903,-0.812464761,1.331768029,-1.321257103,-2.237058011
-0.489970495,-0.502992804,0.064151239,0.04585768,0.566661537,0.574924328,0.677225711,0.538071948,0.291009047,1.170021252,1.878867012,-0.42077815,-1.399093229
0.956237489,0.949358258,0.635325593,0.761197951,-0.035835151,0.951490051,0.501459801,1.230931716,1.021652562,-0.691088066,1.331768029,1.265224996,-1.315296751
-0.642202914,-0.655871863,-0.443559297,-0.465099657,0.717285709,0.072836697,1.556055261,0.538071948,-0.317860549,-0.569711371,1.60531752,0.422223423,0.193039856
0.423424021,0.414281551,0.127615056,0.659006483,-0.035835151,0.825968143,-0.553135659,0.42259532,0.493965579,-0.974300354,2.152416504,-0.267505137,-0.309739013
0.499540231,0.490721081,0.571861776,0.659006483,-0.186459323,0.700446235,-0.025837929,0.769025204,1.143426481,-0.246040186,1.331768029,-0.727324177,-1.063907317
-0.109389446,-0.044355626,0.064151239,0.454623549,-0.63833184,0.072836697,-0.728901569,0.076165436,0.331600353,-0.933841456,-0.03597943,0.288109536,1.282394072
-0.109389446,-0.120795156,0.889180861,0.659006483,-0.63833184,0.323880512,-1.256199299,-0.039311193,2.523530899,1.938740318,2.152416504,0.345586916,1.282394072
-0.489970495,-0.502992804,0.191078873,0.148049147,-0.337083495,-0.052685211,-0.377369749,-0.039311193,0.25041774,-0.043745695,-0.856627906,0.939519843,-1.063907317
0.575656441,0.490721081,1.016108495,0.863389418,0.114789021,1.202533866,0.325693891,1.230931716,0.412782966,0.563137779,2.699515487,-0.114232124,-1.399093229
-0.794435334,-0.885190452,-1.522444186,-1.07824846,0.566661537,-0.805816657,-0.377369749,-1.425030729,-0.155495324,0.320384389,1.058218537,-0.689005923,-1.650482664
-0.870551543,-0.961629981,-1.395516552,-0.873865526,-0.63833184,-1.558948103,0.501459801,-0.616694333,-0.845547533,-0.974300354,1.058218537,-1.129665837,-0.142146057
0.195075392,0.032083903,-0.887806016,-0.465099657,1.018534053,0.323880512,-0.025837929,-0.501217705,-0.358451856,1.129562354,-0.03597943,-0.459096404,-0.477331969
-0.109389446,-0.120795156,-0.126240212,-0.056333788,-0.63833184,-0.554772842,-0.201603839,-0.154787821,-0.277269243,-0.650629168,1.331768029,-0.037595617,0.0254469
0.651772651,0.64360014,0.381470325,0.556815016,-0.186459323,0.574924328,0.149927981,0.769025204,0.575148192,-0.003286796,1.878867012,1.169429363,0.360632812
-1.78394606,-1.878904336,-2.030154723,-1.487014329,0.416037365,-1.433426195,0.149927981,-1.540507357,-1.21086929,-0.407875779,0.784669045,-1.68528051,-0.728721404
-1.555597431,-1.496706688,-1.712835638,-1.282631395,-1.240828528,-2.563123365,-1.256199299,-2.233367126,-0.886138839,2.100575911,0.237570062,-0.631528544,-0.644924926
0.195075392,0.337842021,-0.189704029,0.556815016,-1.240828528,-0.303729026,-0.904667479,0.076165436,1.021652562,1.615069133,3.520163963,-0.324982517,0.276836334
-1.936178479,-1.955343866,-2.157082357,-1.691397264,-0.63833184,-2.563123365,-0.728901569,-2.348843754,-1.616782354,-0.124663491,-0.583078414,-0.861438063,-1.650482664
-1.936178479,-1.878904336,-1.649371821,-1.589205796,1.47040657,-0.680294749,1.204523441,-0.963124217,-0.76436492,-0.36741688,-0.03597943,-0.88059719,-0.561128448
-1.098900173,-1.11450904,-1.776299455,-1.282631395,0.114789021,-1.433426195,-0.025837929,-1.425030729,-1.373234516,-0.61017027,-0.03597943,-0.47825553,-0.142146057
1.108469909,1.025797787,0.762253227,0.965580885,-0.035835151,1.202533866,0.501459801,1.461884972,0.696922111,-0.488793575,0.237570062,1.744203162,0.0254469
-0.033273237,-0.120795156,-0.38009548,-0.158525255,1.018534053,0.700446235,-0.201603839,-0.270264449,-0.155495324,-0.933841456,-1.403726889,1.073633729,0.109243378
-0.413854285,-0.426553274,-0.38009548,-0.158525255,-0.487707667,-0.554772842,-0.904667479,-0.732170961,-0.155495324,-0.043745695,-1.950825873,-0.93807457,-0.728721404
-0.109389446,-0.120795156,0.889180861,0.863389418,-1.090204356,0.198358605,-0.728901569,0.538071948,0.859287337,0.279925491,1.60531752,0.03904089,0.193039856
-1.251132592,-1.19094857,-0.824342199,-0.771674058,0.416037365,-0.554772842,0.677225711,-0.385741077,-1.007912758,-0.731546964,-0.03597943,-1.359575357,-0.393535491
0.651772651,0.414281551,-0.062776395,0.352432081,-1.240828528,-0.554772842,-1.256199299,-0.385741077,-0.236677936,1.170021252,-1.950825873,-1.263779723,0.0254469
